date,channel,region,cohort,sessions,dau,orders,successful_payments,revenue,conversion_rate,payment_success_rate,bounce_rate,cac,is_injected_anomaly
2024-01-01,App,North,New,2253.0,1439,96.0,88.0,52661.406949645425,0.0426098535286285,0.9176914046080333,0.3541586578090814,134.57690692513285,0
2024-01-01,App,North,Repeat,2388.0,1385,141.0,129.0,50529.59088554649,0.059045226130653265,0.9183824373195297,0.37374150964109265,101.29695700716763,0
2024-01-01,App,South,New,687.0,276,27.0,24.0,11998.331660583066,0.039301310043668124,0.9214441417279331,0.3874478015957112,147.94442478397934,0
2024-01-01,App,South,Repeat,2120.0,1224,125.0,116.0,44690.39917386291,0.0589622641509434,0.9324443833044537,0.37422821689537733,84.55361150896957,0
2024-01-01,App,East,New,1170.0,798,34.0,32.0,9855.460035523427,0.02905982905982906,0.9523884722312368,0.3625461738278323,153.39413558133847,0
2024-01-01,App,East,Repeat,2341.0,1284,131.0,123.0,56070.23117949877,0.05595899188381034,0.9464508982420639,0.33895781750144893,116.40476148244676,0
2024-01-01,App,West,New,2257.0,1287,65.0,59.0,45036.436540916926,0.028799291094373063,0.9091220718353034,0.3546406709926303,143.91729385005354,0
2024-01-01,App,West,Repeat,2236.0,924,147.0,133.0,57944.710612964074,0.06574239713774598,0.9098182931426979,0.32083528932315564,138.01162564063506,0
2024-01-01,Web,North,New,826.0,400,24.0,22.0,15424.166788294437,0.029055690072639227,0.9326885776525605,0.3661538999847021,96.4638578383826,0
2024-01-01,Web,North,Repeat,1745.0,802,101.0,95.0,57283.098802098044,0.057879656160458454,0.9486116880154221,0.4338883704836671,144.8410614959344,0
2024-01-01,Web,South,New,1668.0,725,61.0,57.0,26530.5937083005,0.03657074340527578,0.9495109025424472,0.39111339393646727,123.31539905024674,0
2024-01-01,Web,South,Repeat,598.0,345,31.0,29.0,14252.439683929953,0.051839464882943144,0.9391577015400003,0.31578563108170593,148.01984667723727,0
2024-01-01,Web,East,New,1256.0,789,53.0,49.0,26797.992110927575,0.04219745222929936,0.9367636250398664,0.2690127447955128,98.135206646504,0
2024-01-01,Web,East,Repeat,1984.0,913,117.0,108.0,62816.88088672471,0.05897177419354839,0.9288036547267666,0.4480586883209178,128.68612604982894,0
2024-01-01,Web,West,New,1136.0,539,48.0,44.0,18233.559640815696,0.04225352112676056,0.9196345956345271,0.3893919289144187,109.54258812933637,0
2024-01-01,Web,West,Repeat,1130.0,663,59.0,54.0,28526.433403038573,0.05221238938053097,0.9177935596530533,0.3841917051595114,95.29083060517836,0
2024-01-02,App,North,New,2582.0,1724,120.0,112.0,83781.11279571563,0.046475600309837335,0.9335110658790967,0.3648973453061324,115.1465536535231,0
2024-01-02,App,North,Repeat,1426.0,920,83.0,72.0,29595.881176946288,0.05820476858345021,0.8768964790487307,0.41727589719443836,88.39057571335779,0
2024-01-02,App,South,New,1561.0,738,58.0,53.0,30689.703053459543,0.037155669442664956,0.918603433032032,0.36686308433108933,117.32889477048496,0
2024-01-02,App,South,Repeat,2149.0,1021,127.0,113.0,49993.48793232692,0.05909725453699395,0.8916245756940192,0.3986743062275392,82.58208631481729,0
2024-01-02,App,East,New,807.0,559,30.0,27.0,12758.46184836022,0.03717472118959108,0.9283166982963765,0.47167577436449604,140.59850499863944,0
2024-01-02,App,East,Repeat,1474.0,1025,96.0,90.0,61272.88268979229,0.06512890094979647,0.9453459367741281,0.3425103711252821,96.63462807946797,0
2024-01-02,App,West,New,1754.0,1124,73.0,67.0,33460.61882189253,0.04161915621436716,0.9295623825132248,0.42562118661858017,108.66027369309607,0
2024-01-02,App,West,Repeat,864.0,393,54.0,50.0,31939.10904605706,0.0625,0.9319930273017528,0.3748262172941901,81.16114802494992,0
2024-01-02,Web,North,New,746.0,376,27.0,23.0,16533.66621793427,0.036193029490616625,0.8806060226986481,0.45846038234763115,113.56201614196796,0
2024-01-02,Web,North,Repeat,2034.0,1348,120.0,113.0,80073.0543113687,0.058997050147492625,0.9462703443473934,0.3384567841783023,118.86405681196237,0
2024-01-02,Web,South,New,1518.0,717,55.0,52.0,24414.774567266217,0.036231884057971016,0.9456364574355463,0.4649698407132244,171.35726183601648,0
2024-01-02,Web,South,Repeat,651.0,339,32.0,30.0,14584.241498426147,0.04915514592933948,0.9470799557298981,0.48942969286627314,145.80934097204448,0
2024-01-02,Web,East,New,717.0,287,25.0,22.0,14210.847174619626,0.03486750348675035,0.9056629021528153,0.34043482513986756,155.823054593193,0
2024-01-02,Web,East,Repeat,1300.0,712,75.0,69.0,46373.883045451395,0.057692307692307696,0.920749462795965,0.3443751322835276,130.46579469764905,0
2024-01-02,Web,West,New,1315.0,750,44.0,40.0,17304.04735363451,0.033460076045627375,0.9149252767128503,0.4439336774095448,149.01564458377007,0
2024-01-02,Web,West,Repeat,761.0,384,40.0,38.0,27819.183736366158,0.052562417871222074,0.9572886689464064,0.45860144519022006,96.11296877690887,0
2024-01-03,App,North,New,1822.0,882,73.0,67.0,26033.207760136138,0.04006586169045005,0.9272545636580437,0.3888268607337075,97.29835578842487,0
2024-01-03,App,North,Repeat,981.0,489,62.0,60.0,47409.947511481376,0.06320081549439348,0.9723777242445999,0.4773268377735755,85.27423792042897,0
2024-01-03,App,South,New,992.0,511,37.0,35.0,13466.123067006618,0.037298387096774195,0.9471279758864695,0.43550546201819773,154.4665029206977,0
2024-01-03,App,South,Repeat,1422.0,610,85.0,79.0,58356.23634115425,0.05977496483825598,0.9311641743689201,0.34285148510846886,131.8538032427943,0
2024-01-03,App,East,New,2529.0,1544,83.0,75.0,52851.04333044426,0.0328192961644919,0.9112434992016976,0.4152224559935426,172.7122064147436,0
2024-01-03,App,East,Repeat,1682.0,925,103.0,96.0,62494.41010836976,0.061236623067776455,0.9414178102138634,0.45677828200903,135.70548686052706,0
2024-01-03,App,West,New,2038.0,1357,82.0,75.0,38942.77961317827,0.040235525024533855,0.9218118233885689,0.33999341311349185,109.02349580513051,0
2024-01-03,App,West,Repeat,2158.0,1048,142.0,130.0,41427.63226869894,0.06580166821130677,0.9217093638922023,0.40400993562704074,137.58203924617607,0
2024-01-03,Web,North,New,1821.0,1021,72.0,66.0,28760.91622205148,0.039538714991762765,0.9197811106542608,0.39761781444214783,166.72993830100646,0
2024-01-03,Web,North,Repeat,1565.0,875,90.0,87.0,57684.97301693578,0.05750798722044728,0.9728788817865066,0.4316959511159006,148.30964556237743,0
2024-01-03,Web,South,New,1248.0,766,43.0,39.0,20153.65438282447,0.03445512820512821,0.9202756542849375,0.35712255571694496,111.48402864383507,0
2024-01-03,Web,South,Repeat,1290.0,681,76.0,70.0,53032.48046692682,0.05891472868217054,0.9226310002182662,0.4078600927548539,110.96465608117731,0
2024-01-03,Web,East,New,1780.0,1005,70.0,66.0,29037.818599216112,0.03932584269662921,0.9553281371074576,0.5061078098506318,131.24640524393436,0
2024-01-03,Web,East,Repeat,1599.0,911,96.0,87.0,30195.828989682363,0.0600375234521576,0.9163999133176411,0.3868297077566364,101.7989316573906,0
